response,method,standardized_mse_mean,standardized_mse_sd,raw_mse_mean,raw_mse_sd,standardized_mean_sd
JAM2,ARMUL,0.2806360189032241,0.00879850981335026,0.0680542842412014,0.0020966723868930796,0.2806 (0.0088)
JAM2,COVER,0.28082019906505595,0.009915776919615248,0.06814758606521965,0.0025542887927425626,0.2808 (0.0099)
JAM2,HPS,0.2845133467662609,0.00985233753871018,0.06873732085813536,0.0022805747268366088,0.2845 (0.0099)
JAM2,FLARCC,0.2857610339223823,0.010377143384661197,0.06938524222028386,0.002432336230049881,0.2858 (0.0104)
JAM2,MMoE,0.3139360133050567,0.016956185003092573,0.07554016114803037,0.003579113913969905,0.3139 (0.0170)
JAM2,Pool,0.3174865146484362,0.00923154301342652,0.07696858362879064,0.0025035481944237175,0.3175 (0.0092)
JAM2,STL,0.3220016838073237,0.009751754767340278,0.07729312621957386,0.0018497582145491302,0.3220 (0.0098)
SH2D2A,Pool,0.6786404998053597,0.03995402761559602,0.05829144116622601,0.0017730765561140948,0.6786 (0.0400)
SH2D2A,COVER,0.6802090438227546,0.04293196744029288,0.05799721359815459,0.0017979639308220625,0.6802 (0.0429)
SH2D2A,ARMUL,0.6831419763862936,0.043522660276677144,0.058372712054163646,0.0022272686302993666,0.6831 (0.0435)
SH2D2A,FLARCC,0.6886830902470079,0.04465131548711878,0.05871774509124923,0.0017726574938900519,0.6887 (0.0447)
SH2D2A,HPS,0.6918244915338818,0.04403047512835242,0.058823485465466493,0.0019019440406974838,0.6918 (0.0440)
SH2D2A,MMoE,0.7502683422642523,0.05650623919248733,0.06312722245950295,0.0026444993372894483,0.7503 (0.0565)
SH2D2A,STL,0.7844701088971214,0.05242753021886989,0.06592446259768023,0.0016863366856516657,0.7845 (0.0524)
