response,tissue,method,repeats,mse_mean,mse_sd
JAM2,brain_amygdala,ARMUL,20,0.2744180414741411,0.03512512586931568
JAM2,brain_amygdala,COVER,20,0.27175467357210775,0.037139428834215144
JAM2,brain_amygdala,FLARCC,20,0.2778497921439227,0.03360526897090388
JAM2,brain_amygdala,HPS,20,0.28034783303169625,0.04028839021995547
JAM2,brain_amygdala,MMoE,20,0.34581809570595384,0.08439154091357352
JAM2,brain_amygdala,Pool,20,0.32038334123330786,0.023707494033391972
JAM2,brain_amygdala,STL,20,0.33058719314665574,0.04993325425264944
JAM2,brain_anterior_cingulate_cortex_ba24,ARMUL,20,0.40699173144008827,0.03904323971846521
JAM2,brain_anterior_cingulate_cortex_ba24,COVER,20,0.4136443126981081,0.040522838373182886
JAM2,brain_anterior_cingulate_cortex_ba24,FLARCC,20,0.4123058823495997,0.04778989073218919
JAM2,brain_anterior_cingulate_cortex_ba24,HPS,20,0.4219027057552352,0.043861962296281254
JAM2,brain_anterior_cingulate_cortex_ba24,MMoE,20,0.5036447740246041,0.060228968289497885
JAM2,brain_anterior_cingulate_cortex_ba24,Pool,20,0.4764937602552474,0.027470764760814798
JAM2,brain_anterior_cingulate_cortex_ba24,STL,20,0.5160861176577993,0.05990736944261426
JAM2,brain_caudate_basal_ganglia,ARMUL,20,0.21910354252960343,0.014881278480260976
JAM2,brain_caudate_basal_ganglia,COVER,20,0.21973679443849573,0.019634625728805498
JAM2,brain_caudate_basal_ganglia,FLARCC,20,0.22180167888739705,0.01730902260989154
JAM2,brain_caudate_basal_ganglia,HPS,20,0.21722915157665357,0.014924222909827456
JAM2,brain_caudate_basal_ganglia,MMoE,20,0.23456218843610088,0.015112763850075681
JAM2,brain_caudate_basal_ganglia,Pool,20,0.2592215757079385,0.012059864393917551
JAM2,brain_caudate_basal_ganglia,STL,20,0.24900144544879743,0.01735772572889457
JAM2,brain_cerebellar_hemisphere,ARMUL,20,0.13798343606580993,0.011817887857273127
JAM2,brain_cerebellar_hemisphere,COVER,20,0.13815635543812058,0.011867416601229062
JAM2,brain_cerebellar_hemisphere,FLARCC,20,0.13759154109014604,0.011336757277174966
JAM2,brain_cerebellar_hemisphere,HPS,20,0.13371148764443364,0.010180675137931456
JAM2,brain_cerebellar_hemisphere,MMoE,20,0.13684116201515245,0.012204598349616604
JAM2,brain_cerebellar_hemisphere,Pool,20,0.18054637107752844,0.01585669656299067
JAM2,brain_cerebellar_hemisphere,STL,20,0.13538260407877567,0.012717466489942876
JAM2,brain_cerebellum,ARMUL,20,0.2253814019700171,0.020026494149306302
JAM2,brain_cerebellum,COVER,20,0.22038991072410402,0.017096378296555675
JAM2,brain_cerebellum,FLARCC,20,0.22540549845350974,0.020361834606063306
JAM2,brain_cerebellum,HPS,20,0.22358438594076588,0.02176763281820304
JAM2,brain_cerebellum,MMoE,20,0.23209064241499422,0.028771038820728265
JAM2,brain_cerebellum,Pool,20,0.2782578283759996,0.01717887644942561
JAM2,brain_cerebellum,STL,20,0.2336495367502643,0.023547557300162426
JAM2,brain_cortex,ARMUL,20,0.4188296828090327,0.030877698875041885
JAM2,brain_cortex,COVER,20,0.4200849120856372,0.032100162689873056
JAM2,brain_cortex,FLARCC,20,0.42828738379613923,0.033439080739473166
JAM2,brain_cortex,HPS,20,0.4275463867717276,0.03408248611288501
JAM2,brain_cortex,MMoE,20,0.4483043424348879,0.038621424643320565
JAM2,brain_cortex,Pool,20,0.44985510785547833,0.030372809396083694
JAM2,brain_cortex,STL,20,0.4541415568985393,0.03014655293129732
JAM2,brain_frontal_cortex_ba9,ARMUL,20,0.4352581485969417,0.027990430836704706
JAM2,brain_frontal_cortex_ba9,COVER,20,0.4316992807386952,0.027039838867139565
JAM2,brain_frontal_cortex_ba9,FLARCC,20,0.4450049189030696,0.029393915858483444
JAM2,brain_frontal_cortex_ba9,HPS,20,0.44229161007737544,0.029952383132986128
JAM2,brain_frontal_cortex_ba9,MMoE,20,0.48072703588913146,0.03639283598085928
JAM2,brain_frontal_cortex_ba9,Pool,20,0.4823688171114006,0.04146238117768899
JAM2,brain_frontal_cortex_ba9,STL,20,0.5140356722848507,0.028325980741932037
JAM2,brain_hypothalamus,ARMUL,20,0.3144339547998495,0.02731749864249893
JAM2,brain_hypothalamus,COVER,20,0.3150953685998836,0.02535685202872255
JAM2,brain_hypothalamus,FLARCC,20,0.325197202832046,0.029932648054909604
JAM2,brain_hypothalamus,HPS,20,0.3243825536639844,0.029603957415172355
JAM2,brain_hypothalamus,MMoE,20,0.36239441958130053,0.03490330766601707
JAM2,brain_hypothalamus,Pool,20,0.3243149172003131,0.02415651890280641
JAM2,brain_hypothalamus,STL,20,0.3592992934675562,0.021943769321390274
JAM2,brain_nucleus_accumbens_basal_ganglia,ARMUL,20,0.27029791357018734,0.013445522383096825
JAM2,brain_nucleus_accumbens_basal_ganglia,COVER,20,0.2701968525700716,0.013739346296567303
JAM2,brain_nucleus_accumbens_basal_ganglia,FLARCC,20,0.2783317546220731,0.015389426029215092
JAM2,brain_nucleus_accumbens_basal_ganglia,HPS,20,0.2769973329102433,0.015811155061013462
JAM2,brain_nucleus_accumbens_basal_ganglia,MMoE,20,0.30799912775707733,0.02149098213565755
JAM2,brain_nucleus_accumbens_basal_ganglia,Pool,20,0.2885014822023922,0.016246235070861103
JAM2,brain_nucleus_accumbens_basal_ganglia,STL,20,0.32918977068367605,0.016113786021090072
JAM2,brain_putamen_basal_ganglia,ARMUL,20,0.209027359772659,0.01414946336920462
JAM2,brain_putamen_basal_ganglia,COVER,20,0.21098663926313174,0.015251858651748497
JAM2,brain_putamen_basal_ganglia,FLARCC,20,0.2120874232757417,0.014304484237952803
JAM2,brain_putamen_basal_ganglia,HPS,20,0.20902063982859803,0.015762053344812763
JAM2,brain_putamen_basal_ganglia,MMoE,20,0.21751051004241,0.022623886751933612
JAM2,brain_putamen_basal_ganglia,Pool,20,0.23583762743135783,0.014510388044622678
JAM2,brain_putamen_basal_ganglia,STL,20,0.23104541634169906,0.02125357441756216
JAM2,brain_spinal_cord_cervical_c-1,ARMUL,20,0.1752709949071351,0.019560526991137885
JAM2,brain_spinal_cord_cervical_c-1,COVER,20,0.1772770895872595,0.022447457267806947
JAM2,brain_spinal_cord_cervical_c-1,FLARCC,20,0.1795082967925596,0.02214194102319647
JAM2,brain_spinal_cord_cervical_c-1,HPS,20,0.1726327272281557,0.018370234942877938
JAM2,brain_spinal_cord_cervical_c-1,MMoE,20,0.18340384805401092,0.01928876514809143
JAM2,brain_spinal_cord_cervical_c-1,Pool,20,0.1965708326818341,0.017174523828013877
JAM2,brain_spinal_cord_cervical_c-1,STL,20,0.18959991512194663,0.013701088066048184
SH2D2A,brain_amygdala,ARMUL,20,1.2679528729418024,0.23969231844944744
SH2D2A,brain_amygdala,COVER,20,1.2565776792880408,0.23861159180111527
SH2D2A,brain_amygdala,FLARCC,20,1.2699609575160742,0.24385900323077125
SH2D2A,brain_amygdala,HPS,20,1.278626653902563,0.25593080359704024
SH2D2A,brain_amygdala,MMoE,20,1.3729975250183992,0.25991967361566526
SH2D2A,brain_amygdala,Pool,20,1.2426897830481711,0.1972265080150291
SH2D2A,brain_amygdala,STL,20,1.476335598505766,0.3784880345399072
SH2D2A,brain_anterior_cingulate_cortex_ba24,ARMUL,20,0.9931679907733015,0.19500716601263077
SH2D2A,brain_anterior_cingulate_cortex_ba24,COVER,20,0.9919664151029052,0.18166186216264318
SH2D2A,brain_anterior_cingulate_cortex_ba24,FLARCC,20,1.024614870313727,0.20771804637479074
SH2D2A,brain_anterior_cingulate_cortex_ba24,HPS,20,1.0381251896359724,0.20440769446849275
SH2D2A,brain_anterior_cingulate_cortex_ba24,MMoE,20,1.3045991050879282,0.27771524402439596
SH2D2A,brain_anterior_cingulate_cortex_ba24,Pool,20,0.9910474066301388,0.17984360896932516
SH2D2A,brain_anterior_cingulate_cortex_ba24,STL,20,1.3605573836677625,0.20442804257080105
SH2D2A,brain_caudate_basal_ganglia,ARMUL,20,0.5992841577813135,0.03845668183089061
SH2D2A,brain_caudate_basal_ganglia,COVER,20,0.5948620413054745,0.031729222315266835
SH2D2A,brain_caudate_basal_ganglia,FLARCC,20,0.6051947467989922,0.03466033011575106
SH2D2A,brain_caudate_basal_ganglia,HPS,20,0.6073734217124145,0.03267221732657188
SH2D2A,brain_caudate_basal_ganglia,MMoE,20,0.6507750964371001,0.04499950165594466
SH2D2A,brain_caudate_basal_ganglia,Pool,20,0.5965065895431608,0.03759076236157832
SH2D2A,brain_caudate_basal_ganglia,STL,20,0.6706328192127045,0.03695470208177969
SH2D2A,brain_cerebellar_hemisphere,ARMUL,20,0.6645502264658426,0.04467189442869806
SH2D2A,brain_cerebellar_hemisphere,COVER,20,0.6691633224855269,0.05761180689673401
SH2D2A,brain_cerebellar_hemisphere,FLARCC,20,0.6681959834010562,0.050336973091441174
SH2D2A,brain_cerebellar_hemisphere,HPS,20,0.6718484486855111,0.0561362843148554
SH2D2A,brain_cerebellar_hemisphere,MMoE,20,0.7180643460957956,0.0640310483605238
SH2D2A,brain_cerebellar_hemisphere,Pool,20,0.644967379288293,0.05531576517804072
SH2D2A,brain_cerebellar_hemisphere,STL,20,0.741945379489644,0.08799955982739774
SH2D2A,brain_cerebellum,ARMUL,20,0.5246741452426864,0.030939678039648647
SH2D2A,brain_cerebellum,COVER,20,0.5289351056194942,0.03170814238319728
SH2D2A,brain_cerebellum,FLARCC,20,0.5368790132876242,0.029369804901233008
SH2D2A,brain_cerebellum,HPS,20,0.5317742611610654,0.03158463559697056
SH2D2A,brain_cerebellum,MMoE,20,0.5507727725065188,0.036942663497966294
