setting,method,excess_mse_n,excess_mse_mean,excess_mse_sd,excess_mse_se,prediction_mse_n,prediction_mse_mean,prediction_mse_sd,prediction_mse_se,worst_task_excess_mse_n,worst_task_excess_mse_mean,worst_task_excess_mse_sd,worst_task_excess_mse_se,common_mse_n,common_mse_mean,common_mse_sd,common_mse_se,deviation_mse_n,deviation_mse_mean,deviation_mse_sd,deviation_mse_se
Both--moderate,ARMUL,100,0.10048313564992314,0.0065526273625545264,0.0006552627362554526,100,1.1006499630364335,0.008140344012269362,0.0008140344012269362,100,0.20962003628878478,0.03906602537912297,0.0039066025379122975,100,0.34298436615240147,0.08573178781502867,0.008573178781502867,100,0.39134865865231894,0.07883564252427482,0.00788356425242748
Both--moderate,COVER,100,0.08846281252626799,0.005729286584775787,0.0005729286584775787,100,1.0885929575564395,0.007371205047659845,0.0007371205047659845,100,0.16968674037289394,0.02729630526298111,0.002729630526298111,100,0.6823958099937104,0.044059671507371924,0.004405967150737192,100,0.7048373296911086,0.03829522794636452,0.0038295227946364523
Both--moderate,FLARCC,100,0.11895637055696287,0.008136469029322033,0.0008136469029322033,100,1.119161672876199,0.009443359266026645,0.0009443359266026645,100,0.24214719461175827,0.044020330973981656,0.0044020330973981656,100,0.2758543683658117,0.061911848767231104,0.0061911848767231105,100,0.34792968590212586,0.05779067115301514,0.005779067115301514
Both--moderate,HPS,100,0.11671726336833825,0.008473798876972947,0.0008473798876972947,100,1.1168796405397492,0.009530847747472674,0.0009530847747472674,100,0.25488323603240653,0.05100428158091774,0.005100428158091775,100,0.18796614431912753,0.04062879371700153,0.0040628793717001534,100,0.27379428360076435,0.038756303481736476,0.0038756303481736476
Both--moderate,MMoE,100,0.1323742227729031,0.011239279647389465,0.0011239279647389465,100,1.1325317851498535,0.012125162704569313,0.0012125162704569312,100,0.28519044606569166,0.055277167119225284,0.005527716711922528,100,0.10169414409081914,0.0266356947760188,0.00266356947760188,100,0.21020679340119217,0.02541151379278966,0.002541151379278966
Both--moderate,Pool,100,0.10649082956162545,0.005478626093579573,0.0005478626093579573,100,1.1064524509606126,0.006957462791743376,0.0006957462791743376,100,0.2181805213005349,0.03349281884149403,0.003349281884149403,100,1.0096851091714267,0.03439841898097051,0.0034398418980970515,100,1.0393467481810792,0.006110785729138036,0.0006110785729138036
Both--moderate,STL,100,0.15370307219629425,0.01204393942333628,0.001204393942333628,100,1.1539494437779687,0.012718736929612956,0.0012718736929612955,100,0.34896197846404325,0.07497315110299924,0.007497315110299924,100,0.09116564968605409,0.014162771742655891,0.001416277174265589,100,0.22961812168152165,0.01871033344182954,0.001871033344182954
Both--strong,ARMUL,100,0.11291064011492213,0.007483542843164369,0.0007483542843164369,100,1.1129909915660021,0.008749072142192966,0.0008749072142192966,100,0.23682378473984605,0.04146852124645271,0.004146852124645271,100,0.3149624973130888,0.07724536611089157,0.007724536611089157,100,0.37617137407593687,0.07251642689865428,0.007251642689865429
Both--strong,COVER,100,0.10584649657285268,0.005686465919298081,0.0005686465919298081,100,1.1059832877768163,0.0072695423457159744,0.0007269542345715974,100,0.2163574958038405,0.03173364834972196,0.003173364834972196,100,0.6420382287522708,0.0877427834696842,0.00877427834696842,100,0.6860085836342791,0.07607960289615238,0.0076079602896152385
Both--strong,FLARCC,100,0.13572417468700823,0.009901801413201607,0.0009901801413201607,100,1.1357293797053203,0.011169041640815372,0.0011169041640815371,100,0.28363371989950775,0.04641434363506325,0.004641434363506325,100,0.2651666814807178,0.0624994937492025,0.0062499493749202505,100,0.35410435077070845,0.05723138649251132,0.005723138649251132
Both--strong,HPS,100,0.12977974053592292,0.008566234522941302,0.0008566234522941303,100,1.1299305181617656,0.00967868667719563,0.000967868667719563,100,0.2868363258096403,0.05191323808139226,0.005191323808139226,100,0.1866074061639072,0.03976096856311974,0.003976096856311974,100,0.2851762273876611,0.03909928982879346,0.003909928982879346
Both--strong,MMoE,100,0.1428249566453568,0.010922065596975838,0.001092206559697584,100,1.1429863413190722,0.011957933318233522,0.0011957933318233521,100,0.3130281894412495,0.0560880877080911,0.00560880877080911,100,0.10139839357889452,0.026401884236497253,0.0026401884236497255,100,0.22023255013693377,0.02650192819289674,0.0026501928192896743
Both--strong,Pool,100,0.15812152024038606,0.005500728577675289,0.000550072857767529,100,1.158081712100122,0.007124312513638208,0.0007124312513638208,100,0.3780678310608596,0.0623398293883831,0.00623398293883831,100,1.0108704281477323,0.03442938753166598,0.003442938753166598,100,1.0892353278712783,0.0062574672576357435,0.0006257467257635744
Both--strong,STL,100,0.15747782340795932,0.012037646275691975,0.0012037646275691975,100,1.1577309300378684,0.012738353649284192,0.0012738353649284192,100,0.36618551765990903,0.08553137779901962,0.008553137779901961,100,0.09126306546327059,0.014060775319656531,0.001406077531965653,100,0.23280680874873955,0.0190062334944211,0.00190062334944211
Covariate only,ARMUL,100,0.021154675851866308,0.003005019250219087,0.0003005019250219087,100,1.0213576959818216,0.0049588725782409296,0.000495887257824093,100,0.06350746466046822,0.01828758750486111,0.001828758750486111,100,0.020838343699182058,0.002740064523930417,0.0002740064523930417,100,0.002989483991407749,0.003954710129019008,0.00039547101290190084
Covariate only,COVER,100,0.019284388608651233,0.002304669719042932,0.0002304669719042932,100,1.0194496026739062,0.004392738392870823,0.0004392738392870823,100,0.053613834660051526,0.008526874002235459,0.0008526874002235459,100,0.019963553982634722,0.002773317382084118,0.0002773317382084118,100,0.00228118565353612,0.0012165268458332646,0.00012165268458332646
Covariate only,FLARCC,100,0.020802176170560946,0.002847651632822962,0.0002847651632822962,100,1.0210127890329974,0.004782209151072932,0.0004782209151072932,100,0.058640831355132976,0.01249739941644,0.001249739941644,100,0.020333459455203578,0.002628419594893921,0.0002628419594893921,100,0.0017110202103660628,0.0027979244224192188,0.00027979244224192186
Covariate only,HPS,100,0.03332114239093174,0.004147355084114502,0.0004147355084114502,100,1.0334295298155138,0.005824767483132234,0.0005824767483132234,100,0.1095471213765047,0.02847540497503704,0.002847540497503704,100,0.03759652932547555,0.0069036361973334875,0.0006903636197333488,100,0.0327263012822089,0.009429218902974497,0.0009429218902974497
Covariate only,MMoE,100,0.042890219994539215,0.007379155775786589,0.0007379155775786588,100,1.0430522391865373,0.008749473640775022,0.0008749473640775022,100,0.1643345394610193,0.04921761166603191,0.0049217611666031915,100,0.06773859456448023,0.007739785694556127,0.0007739785694556127,100,0.06096052200291585,0.017078613037871615,0.0017078613037871614
Covariate only,Pool,100,0.018734644016350527,0.0022078197071039285,0.00022078197071039284,100,1.0188961362980222,0.004371754113049741,0.00043717541130497406,100,0.05144496252063094,0.008001075523891947,0.0008001075523891947,100,0.018734644016350527,0.0022078197071039285,0.00022078197071039284,100,0.0,0.0,0.0
Covariate only,STL,100,0.05546913953208852,0.005118446717077008,0.0005118446717077008,100,1.0556241707078045,0.006609728118879005,0.0006609728118879006,100,0.18244902117872383,0.04011781220041974,0.004011781220041974,100,0.07053477902549336,0.006204399365653757,0.0006204399365653757,100,0.044296765697896465,0.006584611723932796,0.0006584611723932796
Homogeneous,ARMUL,100,0.10418451027517144,0.006086106340771234,0.0006086106340771234,100,1.1040862603953991,0.007050018204241473,0.0007050018204241473,100,0.11558860638483828,0.006873486780668163,0.0006873486780668163,100,0.10418451027517144,0.006086106340771234,0.0006086106340771234,100,0.0,0.0,0.0
Homogeneous,COVER,100,0.10221924870002441,0.006099451114823175,0.0006099451114823175,100,1.102120437072271,0.007234179821832153,0.0007234179821832153,100,0.1133997014755294,0.006788786346698639,0.0006788786346698639,100,0.10179812817573733,0.0061139678056829575,0.0006113967805682957,100,0.0004287821011184,0.00030492914823045635,3.0492914823045634e-05
Homogeneous,FLARCC,100,0.10433316844541542,0.006259303092045112,0.0006259303092045112,100,1.1042345846953179,0.007280877590851433,0.0007280877590851433,100,0.11598736795169282,0.0069495032362512045,0.0006949503236251205,100,0.10428765548434696,0.006299555099714419,0.0006299555099714419,100,4.5245938070889e-05,0.00031938536198058504,3.1938536198058507e-05
Homogeneous,HPS,100,0.22797722957291222,0.013569737932337657,0.0013569737932337656,100,1.2275455251610174,0.014599444498474782,0.0014599444498474782,100,0.3295470087945812,0.04732875961069377,0.004732875961069377,100,0.18357280103488688,0.0141776172137899,0.00141776172137899,100,0.04447759462116998,0.014796273542769396,0.0014796273542769397
Homogeneous,MMoE,100,0.2650823426353457,0.018888894548629995,0.0018888894548629996,100,1.2647794601736948,0.018512451621896672,0.0018512451621896671,100,0.43762910659076026,0.0745106312577826,0.007451063125778259,100,0.1540203179968647,0.0070456174901864475,0.0007045617490186448,100,0.11104264054431802,0.016402022016234447,0.0016402022016234446
Homogeneous,Pool,100,0.10223203024656899,0.006426560279083475,0.0006426560279083474,100,1.102029856859851,0.0076325682134459494,0.0007632568213445949,100,0.11335882744407963,0.007434525593848567,0.0007434525593848567,100,0.10223203024656899,0.006426560279083475,0.0006426560279083474,100,0.0,0.0,0.0
Homogeneous,STL,100,0.3912050294937409,0.008798509416857999,0.0008798509416857999,100,1.3907908209312958,0.009667906662291371,0.0009667906662291371,100,0.527244398411531,0.0407141933566806,0.00407141933566806,100,0.24951355510763976,0.012762740989736118,0.0012762740989736118,100,0.14152588350192571,0.01026757665438033,0.001026757665438033
Posterior only,ARMUL,100,0.6878352717627277,0.023488028031313998,0.0023488028031313996,100,1.6879287970839045,0.023521483921379767,0.0023521483921379767,100,1.1335325980786064,0.10396682332638754,0.010396682332638754,100,0.1209856354968154,0.008231622746866564,0.0008231622746866565,100,0.5668009335728399,0.021105523394988536,0.0021105523394988534
Posterior only,COVER,100,0.6572615852961373,0.018462201271621567,0.0018462201271621567,100,1.6573145764783062,0.018741174614782422,0.0018741174614782421,100,1.0600350710689106,0.09862203240900258,0.009862203240900258,100,0.1244178217901161,0.00886254009257523,0.0008862540092575231,100,0.5327397340290778,0.015812915116194957,0.0015812915116194958
Posterior only,FLARCC,100,0.7330921069282783,0.022752359280881415,0.0022752359280881415,100,1.7331933991353212,0.022742579774905975,0.0022742579774905976,100,1.1722994729049292,0.10982471923009152,0.010982471923009152,100,0.12130479508651577,0.008299652690195376,0.0008299652690195375,100,0.611648679194473,0.019639048595526946,0.0019639048595526945
Posterior only,HPS,100,0.7707836308148981,0.024605647685543377,0.0024605647685543375,100,1.7707796796116053,0.024849168735272462,0.0024849168735272464,100,1.2673366621722983,0.12494712051643846,0.012494712051643845,100,0.12462241921904753,0.009372301438848797,0.0009372301438848798,100,0.6461615955782104,0.022218771852419578,0.0022218771852419578
Posterior only,MMoE,100,0.7685175057490418,0.02031370614764916,0.0020313706147649163,100,1.7683657270137692,0.0216508075533458,0.0021650807553345803,100,1.2123152521107456,0.12077732511517762,0.012077732511517763,100,0.15382481328743705,0.00827560643199837,0.0008275606431998371,100,0.6147417307252496,0.018939009538174616,0.0018939009538174617
Posterior only,Pool,100,1.133527275681274,0.010954197365786207,0.0010954197365786208,100,2.133565842802869,0.013265723891036746,0.0013265723891036747,100,1.9355665466539447,0.1817657490819833,0.01817657490819833,100,0.13303656138496878,0.010055317549084194,0.0010055317549084195,100,1.0002296654211147,0.0038455026955274718,0.0003845502695527472
