scaling_value,method,excess_mse_n,excess_mse_mean,excess_mse_sd,excess_mse_se,workflow_seconds_n,workflow_seconds_mean,workflow_seconds_sd,workflow_seconds_se,peak_device_memory_mb_n,peak_device_memory_mb_mean,peak_device_memory_mb_sd,peak_device_memory_mb_se,parameter_count_n,parameter_count_mean,parameter_count_sd,parameter_count_se,selected_coupling_n,selected_coupling_mean,selected_coupling_sd,selected_coupling_se,selected_coupling_median
50,ARMUL,100,0.24575480814847392,0.013353604066310922,0.0013353604066310921,100,24.588166368687524,1.5326478079437047,0.15326478079437048,100,69.7783203125,0.0,0.0,100,6441.0,0.0,0.0,100,0.1,0.0,0.0,0.1
50,COVER,100,0.22620627964127366,0.01064141807923899,0.001064141807923899,100,168.59744305263274,5.243364101018351,0.5243364101018351,100,77.849609375,0.0,0.0,100,6441.0,0.0,0.0,100,1.7830000000000001,1.700211216825186,0.1700211216825186,1.0
50,FLARCC,100,0.2960108111288098,0.02196869807437998,0.002196869807437998,100,24.215410015778616,2.139886933048286,0.2139886933048286,100,69.7783203125,0.0,0.0,100,6441.0,0.0,0.0,100,0.07390000000000001,0.03428622835112451,0.0034286228351124515,0.1
50,HPS,100,0.26120625609200226,0.014532936733308037,0.0014532936733308037,100,15.416074929693714,1.380407304831643,0.1380407304831643,100,69.7783203125,0.0,0.0,100,6441.0,0.0,0.0,100,0.0,0.0,0.0,0.0
50,MMoE,100,0.4282210218868745,0.027899988027169448,0.0027899988027169447,100,68.84869428595528,1.5950879858736868,0.1595087985873687,100,79.7763671875,0.0,0.0,100,49392.0,0.0,0.0,100,0.0,0.0,0.0,0.0
50,Pool,100,0.24600166026806478,0.011119300876339274,0.0011119300876339274,100,2.6132543855533004,0.29624653323536165,0.029624653323536164,100,69.203125,0.0,0.0,100,1665.0,0.0,0.0,100,0.0,0.0,0.0,0.0
50,STL,100,0.4367003929542559,0.0288146343075937,0.00288146343075937,100,50.736454829517754,1.901994425561194,0.1901994425561194,100,70.583984375,0.0,0.0,100,79920.0,0.0,0.0,100,0.0,0.0,0.0,0.0
100,ARMUL,100,0.3489972911004763,0.034137278898476495,0.0034137278898476496,100,23.989412900079042,1.4254213930823623,0.14254213930823623,100,73.15625,0.0,0.0,100,10441.0,0.0,0.0,100,0.192,0.10018165319240661,0.01001816531924066,0.1
100,COVER,100,0.31825105164166273,0.01740933495008192,0.001740933495008192,100,165.59193918325008,4.810903763283893,0.48109037632838925,100,81.2275390625,0.0,0.0,100,10441.0,0.0,0.0,100,6.18,10.925255700495624,1.0925255700495624,3.0
100,FLARCC,100,0.40234041860505276,0.036049846192159625,0.0036049846192159627,100,23.15636070414446,1.6100296647267482,0.1610029664726748,100,73.15625,0.0,0.0,100,10441.0,0.0,0.0,100,0.136,0.07722458393307381,0.007722458393307381,0.1
100,HPS,100,0.4087347629496088,0.025813716268468095,0.0025813716268468095,100,15.524241503961385,1.2085393398953457,0.12085393398953456,100,73.15625,0.0,0.0,100,10441.0,0.0,0.0,100,0.0,0.0,0.0,0.0
100,MMoE,100,0.776537036518417,0.053289699454253464,0.005328969945425347,100,67.54401101591066,1.3389323836893703,0.13389323836893702,100,83.95947265625,0.0,0.0,100,71792.0,0.0,0.0,100,0.0,0.0,0.0,0.0
100,Pool,100,0.34665631112707707,0.022333835998607793,0.0022333835998607793,100,2.6262769398558885,0.3565561978685825,0.03565561978685825,100,72.55322265625,0.0,0.0,100,3265.0,0.0,0.0,100,0.0,0.0,0.0,0.0
100,STL,100,0.6929260705618647,0.04411974281752059,0.004411974281752059,100,49.752999441651625,1.8025082428037142,0.18025082428037142,100,75.34619140625,0.0,0.0,100,156720.0,0.0,0.0,100,0.0,0.0,0.0,0.0
200,ARMUL,100,0.4649883149320599,0.03512954110601564,0.003512954110601564,100,23.802459314102308,1.6017557515164529,0.1601755751516453,100,80.12109375,0.0,0.0,100,18441.0,0.0,0.0,100,0.292,0.03938927711338646,0.003938927711338646,0.3
200,COVER,100,0.4408514309038782,0.03331446624177242,0.003331446624177242,100,173.76590931545942,20.318500376614484,2.0318500376614486,100,87.9833984375,0.0,0.0,100,18441.0,0.0,0.0,100,20.94,31.84806735014535,3.184806735014535,10.0
200,FLARCC,100,0.5134327709595532,0.05613477872349086,0.005613477872349086,100,22.541163634844125,1.63924932490591,0.16392493249059098,100,80.12109375,0.0,0.0,100,18441.0,0.0,0.0,100,0.26599999999999996,0.13575081151979473,0.013575081151979473,0.3
200,HPS,100,0.646126198960234,0.04837099788907841,0.004837099788907841,100,15.725042037880048,1.5702156250533628,0.15702156250533628,100,80.12109375,0.0,0.0,100,18441.0,0.0,0.0,100,0.0,0.0,0.0,0.0
200,MMoE,100,1.0794537405739197,0.07563930096266772,0.007563930096266771,100,67.65526158638299,3.2300703263114547,0.3230070326311455,100,93.09814453125,0.0,0.0,100,116592.0,0.0,0.0,100,0.0,0.0,0.0,0.0
200,Pool,100,0.4788989360649019,0.043982281243323006,0.0043982281243323,100,2.576642265180126,0.32679649606968586,0.032679649606968585,100,79.9169921875,0.0,0.0,100,6465.0,0.0,0.0,100,0.0,0.0,0.0,0.0
200,STL,100,0.9081989679209707,0.06903225328258701,0.006903225328258701,100,55.29871826807968,13.845524185855453,1.3845524185855453,100,84.94091796875,0.0,0.0,100,310320.0,0.0,0.0,100,0.0,0.0,0.0,0.0
