scaling_value,method,excess_mse_n,excess_mse_mean,excess_mse_sd,excess_mse_se,workflow_seconds_n,workflow_seconds_mean,workflow_seconds_sd,workflow_seconds_se,peak_device_memory_mb_n,peak_device_memory_mb_mean,peak_device_memory_mb_sd,peak_device_memory_mb_se,parameter_count_n,parameter_count_mean,parameter_count_sd,parameter_count_se,selected_coupling_n,selected_coupling_mean,selected_coupling_sd,selected_coupling_se,selected_coupling_median
24,ARMUL,100,0.13818608661671797,0.011233157029053661,0.001123315702905366,100,17.15791164489463,1.2443617015238702,0.12443617015238702,100,66.5302734375,0.0,0.0,100,3785.0,0.0,0.0,100,0.06430000000000001,0.0351692875656984,0.0035169287565698397,0.03
24,COVER,100,0.1291651799508152,0.009942035673048867,0.0009942035673048866,100,94.85866631387734,10.874321042248251,1.0874321042248252,100,67.8955078125,0.0,0.0,100,3785.0,0.0,0.0,100,0.5653,0.4359419269081189,0.04359419269081189,0.3
24,FLARCC,100,0.1527802499293123,0.012347591605653565,0.0012347591605653566,100,14.863227053033189,1.4154951878941284,0.14154951878941285,100,66.5302734375,0.0,0.0,100,3785.0,0.0,0.0,100,0.024,0.014564381625088382,0.0014564381625088382,0.03
24,HPS,100,0.14110911255866843,0.010525496456765707,0.0010525496456765706,100,11.384664599802345,1.0194419470996858,0.10194419470996859,100,66.5302734375,0.0,0.0,100,3785.0,0.0,0.0,100,0.0,0.0,0.0,0.0
24,MMoE,100,0.15223161721383113,0.011845149316017527,0.0011845149316017528,100,37.2001537668705,1.4101453202212664,0.14101453202212663,100,71.24169921875,0.0,0.0,100,34552.0,0.0,0.0,100,0.0,0.0,0.0,0.0
24,Pool,100,0.182512361188739,0.00927772928483196,0.000927772928483196,100,3.4715585598442704,1.024615147213877,0.10246151472138769,100,66.064453125,0.0,0.0,100,833.0,0.0,0.0,100,0.0,0.0,0.0,0.0
24,STL,100,0.15849004605273675,0.012929234028158775,0.0012929234028158775,100,32.43163389600814,3.056542598045121,0.3056542598045121,100,66.5283203125,0.0,0.0,100,19992.0,0.0,0.0,100,0.0,0.0,0.0,0.0
96,ARMUL,100,0.09177886083873744,0.008775924629127858,0.0008775924629127859,100,45.027122199283916,4.545076651410445,0.45450766514104446,100,72.21044921875,0.0,0.0,100,5513.0,0.0,0.0,100,0.10800000000000001,0.03938927711338647,0.003938927711338647,0.1
96,COVER,100,0.08529298818868958,0.004004250407220557,0.00040042504072205565,100,412.7475401402917,58.61470101182576,5.861470101182576,100,105.53466796875,0.0,0.0,100,5513.0,0.0,0.0,100,2.66,0.7550503361372738,0.07550503361372737,3.0
96,FLARCC,100,0.12670825565331104,0.007845401908350565,0.0007845401908350565,100,104.78905510577373,27.680800849362573,2.7680800849362575,100,72.21044921875,0.0,0.0,100,5513.0,0.0,0.0,100,0.017,0.009587449708822044,0.0009587449708822044,0.01
96,HPS,100,0.12037882256935722,0.007834397823216861,0.0007834397823216861,100,32.852899460978804,4.356669189697658,0.4356669189697658,100,72.21044921875,0.0,0.0,100,5513.0,0.0,0.0,100,0.0,0.0,0.0,0.0
96,MMoE,100,0.1362672795445534,0.008681634033392966,0.0008681634033392966,100,137.51712239269168,5.775628747066259,0.5775628747066259,100,90.8603515625,0.0,0.0,100,44128.0,0.0,0.0,100,0.0,0.0,0.0,0.0
96,Pool,100,0.1371831149426102,0.003520524220452343,0.0003520524220452343,100,8.605670479964465,1.3520184695077297,0.13520184695077297,100,73.14697265625,0.0,0.0,100,833.0,0.0,0.0,100,0.0,0.0,0.0,0.0
96,STL,100,0.15557056138850103,0.010714196524142986,0.0010714196524142987,100,106.98518365527504,12.43148031837643,1.2431480318376429,100,71.1064453125,0.0,0.0,100,79968.0,0.0,0.0,100,0.0,0.0,0.0,0.0
192,ARMUL,100,0.08852209101676413,0.01452722926508453,0.001452722926508453,100,94.13720850070939,18.764485580337908,1.8764485580337908,100,82.01416015625,0.0,0.0,100,7817.0,0.0,0.0,100,0.196,0.10042334631373566,0.010042334631373566,0.1
192,COVER,100,0.07183768992162262,0.0029063151722088505,0.00029063151722088506,100,1001.5906694100611,221.62311538535576,22.162311538535576,100,217.087890625,0.0,0.0,100,7817.0,0.0,0.0,100,2.8,0.6030226891555271,0.060302268915552716,3.0
192,FLARCC,100,0.1311968487975075,0.010667307523103393,0.0010667307523103394,100,277.53675733940673,74.21215586211054,7.421215586211053,100,82.01416015625,0.0,0.0,100,7817.0,0.0,0.0,100,0.0194,0.010032271160931838,0.0010032271160931839,0.01
192,HPS,100,0.11467553029488022,0.00561770975318242,0.000561770975318242,100,76.10543432816863,18.33032084356809,1.8330320843568089,100,82.01416015625,0.0,0.0,100,7817.0,0.0,0.0,100,0.0,0.0,0.0,0.0
192,MMoE,100,0.13593056628351902,0.007226409983117963,0.0007226409983117964,100,293.40590475693347,27.86535517125251,2.786535517125251,100,117.373046875,0.0,0.0,100,56896.0,0.0,0.0,100,0.0,0.0,0.0,0.0
192,Pool,100,0.12436501140908224,0.002444046570034754,0.0002444046570034754,100,11.233155530625954,1.0164915068369715,0.10164915068369715,100,91.74755859375,0.0,0.0,100,833.0,0.0,0.0,100,0.0,0.0,0.0,0.0
192,STL,100,0.15856350622089022,0.00859872733718157,0.000859872733718157,100,234.87612907057627,48.26500380852318,4.826500380852318,100,77.2109375,0.0,0.0,100,159936.0,0.0,0.0,100,0.0,0.0,0.0,0.0
