method,selected_coupling,validation_mse,best_step,fit_seconds,peak_device_memory_mb,parameter_count,prediction_mse,excess_mse,worst_task_excess_mse,common_mse,deviation_mse,estimated_deviation_energy,scenario,replicate,data_seed,network,variant,initialization,source_file
COVER,3.0,1.0620684623718262,675,190.9168206090108,76.091796875,31433,1.0845364321365942,0.0805620650596442,0.1530024108958371,0.6711815573168751,0.6763440702717602,0.0660688735210446,both_overlap_aligned,0,373244519,base,base,0,results_v2/sensitivity_final/base/both_overlap_aligned/rep_000/metrics.csv
COVER,3.0,1.0645298957824707,725,194.7237756177783,76.091796875,31433,1.0882261644038038,0.084178953868736,0.1485140153642997,0.6637281989568766,0.6803375376136254,0.0635564401923258,both_overlap_aligned,1,373244519,base,base,1,results_v2/sensitivity_final/base/both_overlap_aligned/rep_001/metrics.csv
COVER,3.0,1.0666158199310305,775,194.0221284125,76.091796875,31433,1.0857614366776212,0.0819567495363181,0.1474661077783788,0.6437281204541606,0.6626774278518502,0.0717223957821282,both_overlap_aligned,2,373244519,base,base,2,results_v2/sensitivity_final/base/both_overlap_aligned/rep_002/metrics.csv
COVER,3.0,1.0702937841415403,750,190.0556402122602,76.091796875,31433,1.0912248920096748,0.0865987163487828,0.164245896650797,0.6752240357368167,0.6853068853727121,0.0644075913560978,both_overlap_aligned,3,373244519,base,base,3,results_v2/sensitivity_final/base/both_overlap_aligned/rep_003/metrics.csv
COVER,3.0,1.068235158920288,700,190.27470871806145,76.091796875,31433,1.0890076252394891,0.0853297032343216,0.1622666002880029,0.6664950862635105,0.6921415203163632,0.0605908936263499,both_overlap_aligned,4,373244519,base,base,4,results_v2/sensitivity_final/base/both_overlap_aligned/rep_004/metrics.csv
HPS,0.0,1.088630437850952,175,18.685528340749443,68.0205078125,4361,1.1101475648462458,0.1054069036525991,0.2488030984734888,0.163889557532579,0.2320594179302277,0.518433382943386,both_overlap_aligned,0,373244519,base,base,0,results_v2/sensitivity_final/base/both_overlap_aligned/rep_000/metrics.csv
HPS,0.0,1.0978126525878906,175,19.11341869086027,68.0205078125,4361,1.11625240066265,0.1129240737755141,0.2548110520501521,0.157531080098502,0.235912839407847,0.528511984452554,both_overlap_aligned,1,373244519,base,base,1,results_v2/sensitivity_final/base/both_overlap_aligned/rep_001/metrics.csv
HPS,0.0,1.0948714017868042,150,18.350595091469582,68.0205078125,4361,1.1130731824847684,0.1099555527859197,0.2488841341431452,0.1451000070487795,0.2220833741907612,0.5554549202743044,both_overlap_aligned,2,373244519,base,base,2,results_v2/sensitivity_final/base/both_overlap_aligned/rep_002/metrics.csv
HPS,0.0,1.0952177047729492,175,18.90848148614168,68.0205078125,4361,1.1139245109851703,0.1109197570968445,0.2251970372433276,0.1727507210493312,0.2421585678855808,0.5249473918929676,both_overlap_aligned,3,373244519,base,base,3,results_v2/sensitivity_final/base/both_overlap_aligned/rep_003/metrics.csv
HPS,0.0,1.0905777215957642,100,17.353179425932467,68.0205078125,4361,1.117684061217006,0.1147353970161105,0.2415887795783936,0.1917821113722538,0.257959044640742,0.4514921403942382,both_overlap_aligned,4,373244519,base,base,4,results_v2/sensitivity_final/base/both_overlap_aligned/rep_004/metrics.csv
COVER,3.0,1.072603464126587,900,205.99091990105808,69.61572265625,16733,1.0952313724047154,0.0918905258552783,0.166081695367244,0.744303406788914,0.7480001365258871,0.0423258706228772,both_overlap_aligned,0,373244519,d12,d12,0,results_v2/sensitivity_final/d12/both_overlap_aligned/rep_000/metrics.csv
COVER,3.0,1.0708823204040527,900,200.55769842397424,69.61572265625,16733,1.0897374638197492,0.0852239240578092,0.1696591049253757,0.7388360279552728,0.7393627366222825,0.0446811870832523,both_overlap_aligned,1,373244519,d12,d12,1,results_v2/sensitivity_final/d12/both_overlap_aligned/rep_001/metrics.csv
COVER,3.0,1.069931983947754,775,200.17483630776405,69.61572265625,16733,1.0914666533793795,0.0877726324684405,0.1574380999757805,0.7782975816026267,0.7911922740398585,0.0340868887976062,both_overlap_aligned,2,373244519,d12,d12,2,results_v2/sensitivity_final/d12/both_overlap_aligned/rep_002/metrics.csv
COVER,3.0,1.0676586627960205,1000,200.74051442742348,69.61572265625,16733,1.089429812391057,0.0863207409609333,0.171636907344989,0.7597084916208829,0.7530187304055289,0.0433044221393401,both_overlap_aligned,3,373244519,d12,d12,3,results_v2/sensitivity_final/d12/both_overlap_aligned/rep_003/metrics.csv
COVER,3.0,1.067802906036377,1000,198.09278905484825,69.61572265625,16733,1.0888225679759398,0.0847234738553202,0.1568861281621792,0.7751803866454665,0.7701919346624146,0.0377959552808732,both_overlap_aligned,4,373244519,d12,d12,4,results_v2/sensitivity_final/d12/both_overlap_aligned/rep_004/metrics.csv
HPS,0.0,1.098387598991394,175,18.975917004048824,67.8681640625,3197,1.1206357365529176,0.1170596206106906,0.2968924457561867,0.2160106065195095,0.2878258936672915,0.4304001495488592,both_overlap_aligned,0,373244519,d12,d12,0,results_v2/sensitivity_final/d12/both_overlap_aligned/rep_000/metrics.csv
HPS,0.0,1.0941038131713867,175,18.42304304614663,67.8681640625,3197,1.113368396385151,0.1096704488849736,0.2604948528916183,0.2198570586799144,0.2907099708276636,0.4204209585504035,both_overlap_aligned,1,373244519,d12,d12,1,results_v2/sensitivity_final/d12/both_overlap_aligned/rep_001/metrics.csv
HPS,0.0,1.0975568294525146,150,18.25624425150454,67.8681640625,3197,1.1152320049674778,0.1123309575855922,0.2414989644543794,0.2777578293110183,0.3532003731869225,0.3173452952339763,both_overlap_aligned,2,373244519,d12,d12,2,results_v2/sensitivity_final/d12/both_overlap_aligned/rep_002/metrics.csv
HPS,0.0,1.0949679613113403,175,18.57756467908621,67.8681640625,3197,1.1148023890033425,0.1126014889211184,0.2594430219088444,0.1844311094632882,0.2649909532611885,0.4419305780207974,both_overlap_aligned,3,373244519,d12,d12,3,results_v2/sensitivity_final/d12/both_overlap_aligned/rep_003/metrics.csv
HPS,0.0,1.0902767181396484,150,16.673674900084734,67.8681640625,3197,1.1102837115425788,0.1069217896633321,0.2183225005096082,0.2236996404593726,0.2905539041179981,0.4261694892069892,both_overlap_aligned,4,373244519,d12,d12,4,results_v2/sensitivity_final/d12/both_overlap_aligned/rep_004/metrics.csv
COVER,3.0,1.071962833404541,900,175.36889083962888,86.28857421875,46133,1.091405993754233,0.0871409215618052,0.1520058910177866,0.6587690961453535,0.6748582481434783,0.0764171208159792,both_overlap_aligned,0,373244519,d36,d36,0,results_v2/sensitivity_final/d36/both_overlap_aligned/rep_000/metrics.csv
COVER,3.0,1.0691211223602295,625,183.4426335748285,86.28857421875,46133,1.0878630866618593,0.0842147539983842,0.1498965522150755,0.6541985068675871,0.6781285530153989,0.0715841802103534,both_overlap_aligned,1,373244519,d36,d36,1,results_v2/sensitivity_final/d36/both_overlap_aligned/rep_001/metrics.csv
COVER,3.0,1.066693663597107,775,168.51884225010872,86.28857421875,46133,1.0861423893668258,0.0828953758846056,0.14600630933349,0.6323215178384226,0.6483764722400152,0.0858878035530624,both_overlap_aligned,2,373244519,d36,d36,2,results_v2/sensitivity_final/d36/both_overlap_aligned/rep_002/metrics.csv
COVER,3.0,1.063758134841919,700,171.56919915787876,86.28857421875,46133,1.0869379153025989,0.0830743559478727,0.1729346683972149,0.6469781552931645,0.667896981531479,0.0683774350747338,both_overlap_aligned,3,373244519,d36,d36,3,results_v2/sensitivity_final/d36/both_overlap_aligned/rep_003/metrics.csv
